p_id,age,female,ethnicity,grip,chest,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
PLH065,34,1,5,24,11,1,3,1,2,4,3,1,4,2,5,4,4,5,5,1,2
PLH066,18,1,5,20,11,2,4,2,4,4,2,4,4,2,4,4,4,4,4,2,4
PLH067,21,0,5,36,18,4,5,5,5,4,1,1,5,1,5,5,5,5,5,1,1
PLH068,19,0,4,46,34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PLH069,21,1,5,9,10,4,4,5,5,1,2,4,5,4,3,5,5,1,4,2,1
PLH070,20,1,5,14,9,2,4,3,4,4,2,3,3,2,1,4,4,2,4,2,2
PLH071,19,0,5,37,48,4,1,4,3,3,5,3,5,2,4,5,4,2,5,3,4
PLH072,18,1,5,10,10,5,5,5,5,1,1,1,4,4,2,4,5,1,5,4,2
PLH073,21,0,4,40,31,5,5,1,1,5,1,1,1,5,5,1,5,5,5,5,5
PLH074,19,1,5,24,1,4,4,4,3,1,2,2,4,4,4,5,4,2,4,3,1
PLH075,20,0,5,50,36,1,1,2,2,3,5,4,4,2,5,4,4,5,4,4,3
PLH077,20,1,5,18,11,2,5,3,3,4,2,4,4,2,1,4,2,1,4,3,2
PLH078,19,1,5,16,24,4,4,2,3,2,2,3,2,4,2,2,2,3,2,4,4
PLH079,22,0,5,40,17,3,4,3,2,2,2,3,3,3,3,4,4,2,4,2,3
PLH080,20,0,5,32,32,2,2,2,2,5,2,5,4,2,3,3,2,1,4,5,3
PLH081,18,1,5,30,11,4,5,4,4,2,1,2,4,2,1,4,4,3,5,2,2
PLH082,18,1,5,9,15,5,5,5,3,4,2,2,4,2,2,4,4,2,5,4,4
PLH083,24,0,5,44,52,1,3,3,2,4,2,3,3,1,4,2,4,4,1,3,2
PLH084,18,1,1,20,26,4,3,3,4,3,3,3,4,4,1,2,4,2,3,2,2
PLH085,19,1,5,9,10,2,4,4,2,3,2,4,4,2,4,3,4,4,5,4,4
PLH086,20,1,5,20,8,5,2,4,5,1,5,4,3,3,5,5,5,3,4,2,4
PLH087,19,0,5,41,38,2,4,4,2,4,2,2,2,2,4,4,4,2,5,2,4
PLH088,22,1,2,13,1,5,4,4,1,1,1,1,1,4,4,5,5,1,5,1,2
PLH089,18,0,4,32,32,3,3,2,1,4,2,2,4,2,2,4,4,4,5,2,4
PLH090,20,0,5,39,18,1,1,2,1,4,5,5,2,2,5,1,2,5,2,4,4
PLH091,19,0,5,36,24,1,1,1,1,4,5,5,2,2,4,4,4,5,2,5,2
PLH092,26,1,5,27,28,4,2,3,5,1,4,3,4,3,2,4,4,3,5,2,1
PLH093,20,1,5,5,13,2,4,4,4,4,2,4,4,2,4,4,5,2,4,2,2
PLH094,20,1,7,10,10,5,5,5,4,4,1,1,5,1,1,4,5,1,4,1,1
PLH095,19,0,5,28,26,5,4,5,4,4,1,2,4,4,1,5,4,2,5,4,1
PLH096,20,1,5,10,5,4,5,4,3,2,1,3,3,5,4,5,2,2,5,1,4
PLH097,20,1,4,10,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PLH099,19,1,5,18,12,1,5,4,5,3,3,1,4,3,5,5,5,3,5,1,1
PLH100,19,0,5,43,36,2,4,3,3,4,4,4,4,2,4,4,5,4,3,2,3
PLH101,21,1,5,22,31,3,4,4,3,4,1,2,4,2,4,4,4,4,4,3,3
PLH102,19,1,5,8,10,2,4,2,4,2,2,1,4,2,4,4,4,2,5,2,1
PLH103,20,1,1,25,8,4,4,4,4,2,2,2,4,4,2,4,4,2,5,4,4
PLH104,21,0,5,48,64,3,4,3,3,4,2,3,4,2,3,4,4,5,1,2,4
PLH105,18,1,5,18,22,2,5,4,4,3,1,4,5,3,4,5,4,1,5,5,1
PLH106,18,1,5,14,8,4,5,5,4,1,1,5,5,4,4,4,5,1,5,1,1
PLH107,19,0,1,50,67,3,2,5,2,4,2,2,5,2,4,4,3,2,4,2,2
PLH108,18,1,5,13,8,4,5,4,4,2,1,2,4,4,2,4,4,2,4,2,2
PLH109,18,0,5,32,20,1,3,4,1,3,3,4,5,4,5,3,3,3,5,3,2
PLH110,18,1,5,25,13,5,5,5,4,4,1,1,5,5,5,4,5,1,5,1,1
PLH111,19,1,5,16,9,4,4,5,3,2,2,3,3,3,2,4,4,2,5,4,2
PLH112,21,0,2,28,18,4,4,4,4,2,2,4,4,2,4,4,4,4,4,2,2
PLH113,24,1,1,15,10,4,4,4,4,4,2,4,4,3,2,5,4,4,5,2,4
PLH114,19,1,7,25,15,5,5,2,2,2,1,4,3,1,1,5,5,1,5,5,5
PLH115,18,1,1,22,14,3,4,5,1,2,3,2,4,3,2,5,5,2,4,4,3
PLH116,19,1,5,15,10,4,5,4,4,2,1,3,4,4,2,3,4,4,5,4,2
PLH117,18,1,5,20,18,5,5,5,4,1,1,2,4,4,2,5,5,1,5,4,1
PLH118,20,1,5,15,15,4,5,2,4,1,1,4,4,3,2,4,4,1,5,2,2
PLH119,20,1,4,19,19,4,4,4,4,2,2,1,4,2,2,4,5,2,4,4,1
PLH120,19,0,5,56,62,1,4,2,2,5,3,5,4,1,4,3,3,5,4,4,4
PLH122,21,0,5,40,40,2,4,1,2,4,4,4,4,1,5,3,2,5,4,5,2
PLH123,22,0,5,28,32,1,5,5,2,1,1,1,1,1,5,5,1,1,5,1,2
PLH124,22,1,2,11,11,2,5,2,2,4,1,4,2,3,2,4,4,2,4,4,3
PLH125,18,1,5,5,15,4,4,2,4,4,2,4,3,2,2,4,3,3,5,4,2
PLH126,18,0,1,48,50,1,2,1,1,5,3,5,4,1,5,4,1,5,2,5,5
PLH127,21,1,7,21,13,4,4,1,5,4,2,5,4,2,1,5,2,1,5,1,1
PLH128,19,1,5,26,24,2,3,3,3,2,4,4,4,3,4,4,4,2,4,2,4
PLH129,19,1,5,10,20,4,4,4,4,4,2,4,4,3,4,3,4,2,5,4,3
PLH130,19,1,2,14,12,3,3,3,1,1,1,3,3,3,3,3,3,3,1,1,3
PLH131,19,0,5,28,18,2,4,3,4,3,2,2,3,3,4,2,4,4,4,4,2
PLH132,18,1,5,17,8,3,5,2,1,4,2,4,4,4,2,4,5,3,5,1,2
PLH133,19,0,5,28,40,5,4,4,2,4,3,4,5,2,4,4,5,3,5,4,2
PLH134,19,1,5,23,18,4,4,4,4,1,2,3,3,4,3,4,4,2,4,2,2
PLH136,19,1,1,25,13,4,5,4,2,2,1,4,4,2,1,2,4,2,5,4,4
PLH137,19,1,5,24,18,2,2,4,5,4,4,2,5,4,4,4,4,4,5,5,2
PLH138,19,1,5,22,16,3,5,2,2,5,1,4,2,2,1,2,1,4,4,4,4
PLH139,19,0,5,40,48,1,4,4,2,5,3,2,3,1,2,4,4,2,4,2,2
PLH140,19,0,7,34,42,1,2,2,2,1,3,3,3,3,4,3,1,2,3,5,3
PLH141,18,0,6,22,8,2,5,4,5,1,1,4,5,5,1,5,4,2,4,5,1
PLH143,19,1,5,26,8,2,2,2,2,2,4,4,2,3,4,2,4,4,4,4,3
PLH144,19,1,1,19,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PLH145,19,1,5,31,30,2,3,2,5,4,2,5,5,1,1,3,5,5,5,3,1
PLH146,18,1,5,19,15,4,4,3,4,4,2,4,4,3,2,4,5,1,5,2,1
PLH147,20,0,6,40,38,3,4,3,1,3,2,3,1,2,2,2,4,4,4,4,5
PLH148,19,1,4,21,16,3,3,3,3,2,3,3,4,3,4,4,5,4,3,4,2
PLH149,22,1,1,10,5,2,2,5,3,1,2,2,4,5,4,4,5,4,5,4,3
