p_id,age,female,ethnicity,grip,chest,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
PLH300,18,0,5,32,28,3,2,3,2,3,3,3,2,3,4,2,3,3,3,4,2
PLH301,20,0,5,20,22,4,3,4,2,2,3,2,1,3,2,4,2,2,3,2,3
PLH302,20,1,5,12,6,4,5,3,3,2,2,3,4,2,2,3,3,3,4,3,2
PLH303,18,0,7,36,62,2,4,2,1,1,3,5,5,4,4,2,5,4,4,4,3
PLH304,18,1,5,22,10,3,4,4,3,4,5,4,4,1,5,4,4,2,2,2,1
PLH305,18,1,5,18,14,4,4,4,3,2,2,2,4,3,4,4,5,2,4,4,2
PLH306,21,1,6,12,20,5,4,3,4,5,1,3,4,3,2,3,4,4,5,5,2
PLH307,21,0,5,56,50,2,2,2,2,4,5,4,3,2,4,4,2,4,3,4,4
PLH308,20,1,5,22,22,4,5,4,5,2,1,1,4,4,1,2,5,1,5,4,1
PLH309,21,0,5,45,35,1,1,2,3,4,4,2,4,2,4,3,5,4,2,3,2
PLH310,19,0,5,45,30,2,3,3,2,4,3,4,4,2,3,4,4,4,3,3,4
PLH311,19,0,5,38,12,4,4,4,4,2,2,4,4,2,2,4,4,2,4,4,3
PLH312,18,1,5,20,22,1,4,3,4,4,2,5,4,4,1,3,3,3,4,5,4
PLH313,18,1,5,18,12,4,5,5,4,2,2,1,4,4,2,5,5,2,4,2,1
PLH314,22,1,5,20,12,4,4,4,4,3,2,3,5,2,3,4,4,2,5,2,1
PLH315,18,1,1,22,28,4,5,4,3,2,1,2,4,4,2,4,4,4,4,2,1
PLH316,29,0,5,62,70,1,4,1,1,5,3,4,3,2,1,2,2,4,4,5,4
PLH317,21,0,4,100,105,2,5,2,1,5,2,5,5,1,1,4,5,4,5,3,4
PLH318,19,1,5,26,23,2,5,5,5,4,2,2,4,2,2,5,5,3,4,1,2
PLH319,19,0,5,46,70,1,4,2,1,5,1,2,3,1,1,3,4,5,2,4,4
PLH320,19,1,5,26,16,2,4,2,4,4,2,4,4,3,2,2,2,4,5,4,3
PLH321,18,0,5,38,28,4,3,3,2,2,3,3,4,3,2,3,4,1,3,4,3
PLH322,20,0,7,36,18,3,4,5,3,3,2,3,5,3,1,4,4,4,4,3,3
PLH323,21,0,1,42,28,1,4,2,2,4,4,4,4,1,4,2,3,4,2,2,3
PLH324,19,1,5,18,16,2,4,4,4,2,2,2,4,4,2,4,4,1,4,2,2
PLH325,19,1,5,26,28,3,4,5,3,4,2,3,5,3,3,4,4,1,5,2,2
PLH326,22,1,6,18,26,3,3,5,3,4,4,3,3,2,3,3,4,3,3,3,3
PLH327,19,0,1,25,20,3,4,3,2,3,3,3,3,3,2,4,4,2,4,3,3
PLH328,19,0,5,38,44,4,4,4,2,3,4,4,3,2,1,3,3,2,4,4,4
PLH329,19,1,1,22,9,4,4,4,4,3,2,2,4,4,2,3,5,2,4,4,2
PLH330,19,0,5,45,43,2,5,5,4,5,1,4,5,2,1,4,2,1,5,1,1
PLH331,18,1,5,32,36,2,5,5,4,3,5,4,5,3,2,4,5,4,5,4,3
PLH332,21,1,5,20,22,4,4,4,3,4,2,4,4,1,4,4,5,1,5,2,1
PLH334,18,0,1,25,27,5,5,4,3,3,3,4,4,4,3,5,5,1,5,1,4
PLH336,20,0,4,32,34,2,4,1,1,4,4,4,1,2,2,2,3,4,4,5,5
PLH337,19,1,2,27,19,1,4,2,5,3,2,4,5,2,3,4,5,4,5,4,1
PLH338,19,0,5,46,42,5,5,3,4,5,2,5,3,1,4,5,5,3,5,1,1
PLH339,19,0,5,32,16,2,1,1,1,5,4,4,4,1,5,4,5,5,5,5,5
PLH340,21,1,4,16,17,2,5,4,4,2,2,2,5,1,5,4,1,2,5,4,4
PLH341,19,1,5,10,8,2,5,5,3,3,1,3,4,3,1,3,4,3,5,4,2
PLH342,18,1,5,20,22,2,4,5,4,4,2,3,5,4,2,5,4,2,5,4,2
PLH343,18,0,5,26,26,4,4,3,1,4,3,4,4,2,2,2,4,2,4,4,4
PLH344,20,0,5,32,28,2,4,2,1,4,2,5,3,3,5,5,4,4,3,3,5
PLH345,18,1,5,17,13,4,5,4,2,4,1,2,4,5,1,3,5,3,4,3,4
PLH346,19,0,5,40,23,2,3,2,2,4,2,4,3,3,2,2,2,4,4,5,5
PLH347,19,1,4,16,9,4,5,4,2,2,1,5,2,2,2,2,4,1,5,5,4
PLH348,21,1,5,22,18,2,4,4,4,2,4,4,4,3,4,4,4,3,4,2,1
PLH349,18,1,5,22,20,2,5,4,4,4,2,2,4,2,1,5,4,1,5,2,2
PLH350,19,1,5,18,24,4,4,4,4,2,2,3,3,4,2,4,4,1,5,3,1
PLH351,18,0,5,34,36,4,4,2,2,2,2,4,2,2,2,4,4,4,4,4,4
PLH352,19,0,5,38,34,2,3,3,4,3,2,3,4,2,4,3,4,2,2,2,1
PLH353,18,0,5,39,66,1,4,2,5,4,5,3,5,2,4,5,5,5,5,4,4
PLH354,18,0,5,38,38,2,4,2,2,4,4,4,4,4,4,4,4,4,4,2,2
PLH355,20,0,5,40,24,2,4,3,2,3,4,4,4,3,4,4,4,3,5,4,2
PLH356,22,1,5,20,10,4,4,5,5,4,2,4,5,4,2,5,5,1,5,5,1
PLH357,18,0,5,54,56,2,4,2,2,5,4,4,4,2,4,4,2,4,5,4,5
PLH358,21,1,1,20,14,4,4,4,4,1,2,3,4,4,2,2,4,3,5,2,2
PLH359,18,1,6,18,14,4,4,5,4,2,2,1,5,4,4,3,3,2,5,3,2
PLH360,19,1,7,14,10,3,3,3,3,2,2,3,3,5,1,2,5,2,4,3,2
PLH361,30,0,5,50,61,2,5,1,2,4,1,5,4,4,2,5,4,5,5,1,4
PLH362,19,0,5,60,49,4,5,5,2,4,1,2,4,2,1,5,4,4,5,1,2
PLH363,19,0,5,36,30,4,2,3,3,2,3,2,4,2,4,4,3,4,3,2,2
PLH365,18,0,5,39,34,2,4,4,4,4,2,4,4,2,1,3,4,3,5,4,2
PLH366,20,1,1,23,27,4,4,2,2,4,1,2,2,4,2,4,1,1,4,2,1
PLH367,18,1,5,22,12,5,5,2,2,1,1,5,4,1,1,4,4,1,5,1,2
PLH368,21,1,5,22,14,4,5,4,4,1,1,2,4,4,2,5,5,1,5,2,1
PLH369,19,0,5,36,34,2,4,1,4,1,4,5,2,3,3,4,3,4,4,4,2
PLH370,18,0,5,26,21,4,3,4,2,2,2,4,3,4,3,3,5,2,3,4,4
PLH371,22,0,4,37,28,4,3,4,1,2,2,2,3,3,5,4,4,4,4,4,3
PLH372,19,0,5,36,40,3,2,3,3,3,3,3,4,3,4,4,3,3,4,3,2
PLH373,22,0,5,30,30,2,5,3,2,4,2,4,2,2,2,2,2,4,4,4,4
PLH374,18,1,2,14,2,4,5,5,5,5,1,2,5,2,1,4,5,2,5,4,1
PLH375,19,0,6,31,37,2,1,1,2,5,5,4,2,2,5,2,4,5,4,4,4
PLH376,18,1,2,18,18,4,5,3,3,3,2,3,4,4,2,4,5,2,5,2,2
PLH377,21,1,5,26,26,2,4,3,4,2,3,2,5,3,2,4,4,2,3,2,1
PLH378,19,0,4,48,46,4,4,3,3,5,5,4,5,4,5,4,4,2,5,2,1
PLH379,19,0,7,37,33,1,3,1,1,5,2,5,1,1,1,1,1,5,2,5,5
PLH380,19,0,7,40,22,1,4,3,4,5,3,3,5,2,3,4,5,3,3,2,1
PLH381,18,1,5,17,16,4,4,2,4,3,3,5,3,1,5,3,4,4,4,2,2
PLH382,20,0,7,34,36,4,2,2,1,1,5,4,2,2,4,2,2,4,2,4,4
PLH383,18,1,5,28,28,1,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3
PLH384,22,1,5,10,2,4,5,3,5,2,2,2,4,4,4,4,4,3,5,2,3
PLH385,18,1,5,28,28,1,3,5,3,4,2,1,3,5,2,5,5,1,4,2,4
PLH386,20,0,1,36,34,2,4,4,3,4,2,4,4,1,5,4,3,4,4,5,2
