p_id,female,age,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
77,0,19,38.86,2,3,2,2,2,2,2,4,2,2,4,2,3,5,2,2
78,0,20,32.16,1,4,5,1,2,3,3,1,1,2,1,5,2,1,5,3
79,0,21,12.57,2,4,2,2,4,3,2,3,4,2,2,3,2,4,2,2
80,0,18,37.5,2,5,5,5,2,5,2,4,5,2,2,4,2,4,2,2
81,0,19,33.64,5,4,3,2,4,3,3,3,3,2,2,2,2,2,1,2
82,1,19,16.64,4,4,4,4,4,3,4,5,3,3,4,5,4,4,5,4
83,1,18,21.14,4,4,5,3,2,2,2,5,2,1,5,4,2,4,4,4
84,1,19,16.36,5,5,5,5,5,5,2,4,5,5,4,4,2,5,5,4
85,0,18,37.82,1,5,2,5,4,4,2,5,3,2,1,4,4,4,1,3
86,1,18,14.82,4,5,3,3,2,5,3,3,4,2,4,4,2,5,3,3
87,1,19,10.82,1,5,4,4,4,5,5,4,4,5,4,5,3,5,4,5
88,0,19,21.59,4,4,3,3,4,4,3,4,4,4,3,3,4,4,3,4
89,1,19,27.18,4,4,3,2,2,2,2,5,4,3,2,4,4,2,2,2
90,0,21,33.36,3,1,3,1,5,1,1,5,5,1,4,4,1,5,5,1
91,0,19,49.73,3,4,4,4,2,3,4,5,2,5,4,5,4,4,5,3
92,1,20,26.45,5,5,4,4,5,5,3,5,5,2,5,4,5,5,5,5
93,1,20,15.86,NA,4,4,1,3,1,1,4,NA,1,4,3,NA,5,4,1
94,1,19,31.64,4,5,4,5,4,4,4,5,4,5,4,5,2,4,4,4
95,1,18,20.09,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4
96,0,19,38.32,2,4,5,5,2,5,2,4,2,3,4,5,2,5,2,4
97,0,18,34.09,4,5,4,4,3,4,2,4,4,4,2,4,4,5,1,4
98,1,20,19.32,4,3,2,4,4,4,4,4,3,2,3,2,5,4,2,2
99,1,18,32.27,4,5,2,1,4,5,3,2,3,5,4,3,3,4,4,1
100,1,19,19.95,4,5,4,2,5,5,4,5,4,5,5,5,3,5,5,5
101,1,20,14.86,1,4,4,2,1,4,3,4,3,4,4,4,2,4,1,2
102,1,18,24.91,2,5,2,2,4,4,2,3,5,4,2,5,4,5,1,2
103,1,18,25.23,4,5,5,5,5,5,3,5,5,4,4,5,4,5,4,5
104,1,19,10.05,5,5,4,2,4,4,3,2,4,3,4,4,4,5,4,4
105,0,18,35.18,4,4,2,3,4,1,2,5,4,2,2,4,2,2,2,3
106,0,19,32.41,5,2,4,1,2,5,2,3,5,4,5,4,4,5,4,2
107,1,19,15.23,4,5,4,4,4,5,5,4,4,4,5,5,5,5,4,5
108,1,18,18.45,4,5,4,3,4,4,2,3,4,4,4,5,4,5,4,4
109,0,18,44.23,3,3,2,2,2,2,2,4,2,2,2,5,2,4,2,4
