p_id,female,age,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
326,1,18,21.23,5,4,4,4,5,3,1,5,5,3,3,5,5,5,4,3
327,1,20,31.82,4,5,5,4,2,5,4,4,2,5,4,4,2,5,4,4
328,0,24,29.55,4,4,4,4,3,3,3,4,4,2,2,4,3,4,2,3
329,1,19,27.27,1,4,2,2,2,3,1,2,1,2,2,5,1,4,1,2
330,0,18,41.18,4,5,3,2,4,4,3,4,4,3,4,4,4,5,2,3
331,0,20,42.77,3,5,4,3,2,3,3,5,3,4,3,4,3,3,3,3
332,1,19,18.18,2,5,5,3,4,5,5,4,5,4,5,5,5,5,5,5
333,0,19,24.77,2,5,4,2,2,5,4,4,2,5,2,2,2,4,2,2
334,0,NA,32.45,2,5,4,2,4,5,2,5,3,5,4,4,4,5,4,4
335,1,19,27.05,4,4,3,2,4,4,4,3,4,5,4,4,4,5,2,4
338,0,20,15.57,4,5,5,2,4,4,4,4,4,4,4,3,4,5,3,4
339,0,22,36.27,2,4,2,2,3,4,2,4,4,3,2,4,4,4,2,1
340,1,18,26.82,4,4,4,3,2,4,2,4,4,2,4,5,4,5,2,4
341,1,19,16.73,2,5,4,2,2,5,2,4,5,4,5,5,4,5,1,4
342,1,18,47.27,3,2,4,2,4,2,4,3,4,3,4,4,4,3,5,4
343,0,19,48.82,2,4,2,3,2,2,2,4,2,3,2,4,3,4,2,3
344,1,18,23.64,5,5,4,4,4,4,2,4,3,4,5,5,4,5,2,4
345,1,22,19.27,5,5,4,2,5,5,4,4,4,4,3,5,5,5,2,3
346,0,18,22.5,4,4,4,3,2,2,5,5,3,5,4,5,2,5,4,4
347,1,19,16.14,4,4,4,4,4,4,3,4,4,3,4,5,4,4,4,5
