p_id,age,female,ethnicity,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
350,22,0,7,30.51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
351,18,1,1,16.66,5,5,5,5,2,2,1,5,5,2,5,5,1,5,2,3
352,19,0,1,28.16,2,5,5,4,3,2,1,5,2,2,5,5,4,4,4,2
353,18,1,8,18.67,4,5,2,2,2,2,4,2,4,5,4,4,2,4,2,2
354,18,0,1,52.28,1,3,1,3,3,1,4,3,1,5,3,3,3,3,3,4
355,18,1,1,20.68,4,3,3,5,2,3,3,3,3,3,4,5,2,4,4,1
356,21,0,1,41.5,1,4,2,1,4,5,4,2,2,5,3,5,4,4,5,3
357,19,1,1,19.31,5,3,4,4,1,2,2,4,4,2,5,5,2,3,2,2
358,18,0,5,43.88,4,4,4,4,2,3,3,3,3,4,4,2,2,4,3,4
359,20,1,8,14.14,2,4,2,2,1,2,3,3,3,3,3,4,2,2,3,2
360,18,0,4,40.34,2,2,1,2,3,4,4,4,2,4,2,2,2,3,4,2
361,19,1,1,21.92,4,4,2,2,3,2,3,3,2,4,4,5,2,4,4,2
362,21,0,3,29.08,3,5,1,1,3,2,4,3,4,3,3,1,4,3,5,5
363,21,1,1,29.43,3,4,3,3,2,2,4,4,3,2,4,4,2,4,4,2
364,18,0,7,20.74,2,4,2,2,1,2,4,2,5,4,2,2,2,2,5,4
365,19,1,6,29.48,4,5,4,4,2,2,1,4,3,2,4,4,1,5,4,2
366,19,0,6,31.55,1,1,5,1,5,5,5,5,1,1,5,4,4,4,1,3
367,18,1,1,24.68,3,3,4,2,2,4,4,4,3,5,3,4,3,3,3,2
368,25,0,6,41.42,4,3,4,3,2,3,3,4,4,4,3,4,4,4,3,2
369,18,1,8,25.83,4,4,4,2,2,2,4,3,4,4,4,4,2,4,1,2
370,29,0,1,64.98,4,4,4,3,2,4,5,5,5,3,4,1,5,5,4,3
371,18,1,7,22.7,4,4,4,3,3,4,4,4,2,4,3,3,4,3,3,3
372,19,0,2,36.56,4,4,3,5,5,2,4,4,5,1,3,5,4,2,4,1
373,20,1,7,20.5,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4
374,27,0,1,56.66,2,2,4,1,5,5,5,3,2,2,4,3,4,4,2,4
375,18,1,2,16.76,2,5,5,5,1,1,4,5,4,2,5,5,1,5,1,1
376,21,0,7,50.58,4,3,3,4,4,4,3,3,4,3,2,4,3,4,4,3
377,19,1,1,21.75,4,4,5,4,2,2,2,5,4,2,5,5,1,5,1,4
378,20,0,1,56.07,2,2,3,2,3,2,2,3,1,2,4,2,4,3,1,2
379,18,1,1,29.23,4,4,4,2,3,1,3,4,3,2,4,5,2,4,2,2
380,20,0,2,47.1,2,1,4,1,3,4,2,3,2,3,4,5,5,4,4,2
381,18,1,8,23.2,2,4,4,4,3,2,3,4,4,4,4,3,4,4,4,1
382,18,0,1,34.57,2,1,1,1,5,5,5,1,1,1,4,1,5,4,4,4
383,20,1,5,27.07,4,4,4,3,1,4,3,2,4,4,4,4,4,4,4,4
384,19,0,1,21.77,1,3,3,2,1,3,4,4,2,3,4,4,4,2,1,1
385,19,1,1,22.66,4,5,4,3,3,1,2,4,3,2,5,5,2,4,1,3
386,19,0,1,48.73,2,4,3,2,5,5,5,4,2,5,4,4,4,3,2,5
387,18,1,1,24.26,3,3,3,2,3,1,5,2,1,1,3,3,3,3,3,3
388,18,0,2,27.78,2,4,2,4,3,1,4,5,2,2,4,5,2,5,4,3
389,19,1,1,27.92,3,5,4,4,1,1,1,4,3,3,4,5,1,5,2,3
390,19,0,1,47.15,2,4,4,3,1,3,2,4,3,4,4,4,3,4,1,2
391A,19,1,1,25.23,2,4,4,4,1,4,4,4,2,5,4,5,2,4,2,3
391B,18,1,1,22.74,2,4,4,2,4,3,4,4,3,2,2,4,3,4,4,4
392,19,0,7,41.39,3,2,4,3,3,3,3,3,3,3,3,4,3,4,4,3
393A,19,1,1,28.77,4,4,2,2,4,2,4,4,4,4,4,4,2,4,2,3
393B,18,1,2,35.61,4,4,4,4,1,3,3,4,3,2,4,5,3,4,3,3
394,19,0,5,21.27,2,1,1,1,2,5,5,2,2,4,1,4,4,4,5,5
395A,18,1,1,21.28,5,4,5,5,2,1,4,5,5,2,5,4,2,5,1,1
395B,18,1,2,19.07,4,4,2,4,2,2,2,5,3,4,5,5,2,3,2,2
396,19,0,7,41.23,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
397,19,1,3,19.53,5,3,1,3,1,5,5,5,1,3,1,3,1,5,5,1
398,18,0,1,36.47,4,5,5,2,1,2,2,2,3,1,5,3,2,2,2,2
399,21,1,5,26.88,3,4,3,4,3,2,4,4,3,4,4,3,3,2,3,4
400,18,0,8,48.59,1,2,2,2,4,5,5,2,1,5,4,2,5,4,2,5
401,18,1,1,22.28,5,5,5,3,1,1,2,5,5,1,4,5,1,4,5,4
402,19,0,1,48.08,3,4,4,4,3,2,2,4,5,4,4,4,2,4,2,2
403,18,1,1,31.7,4,5,3,4,3,2,4,4,2,1,2,5,3,5,4,3
404,19,0,1,33.51,2,4,3,2,3,4,3,3,2,4,3,3,5,3,4,4
406,19,0,1,25.58,2,3,1,1,2,2,3,2,2,2,3,3,3,4,5,5
407,18,1,2,24.11,4,4,4,4,2,2,2,4,4,2,4,5,2,4,2,2
408,18,0,2,36.14,2,4,3,2,3,4,4,3,2,2,3,3,3,3,4,2
409,18,1,8,22.74,2,4,3,2,1,2,4,4,4,2,4,4,3,4,2,2
410,19,0,1,47.56,4,5,4,4,3,1,4,5,4,5,4,5,2,4,4,2
411,18,1,2,13.68,4,1,1,5,2,2,5,5,1,5,5,5,3,5,4,1
412,18,0,3,53.66,3,4,2,1,4,5,4,4,1,4,4,3,4,5,4,5
413,20,1,1,21.98,4,3,4,3,2,3,4,3,3,2,3,5,2,5,2,2
414,19,0,1,34.34,4,4,5,4,2,2,2,5,4,3,5,5,2,5,1,2
415,18,1,1,29.15,3,4,4,3,3,3,4,4,3,2,4,4,2,4,4,3
416,18,0,1,43.94,2,4,3,1,4,3,4,2,2,5,4,2,4,4,3,2
417,19,1,1,28.2,1,4,2,2,5,4,5,5,2,2,4,4,4,4,2,3
418,22,0,7,51.95,2,3,4,2,4,4,3,4,3,2,4,4,4,2,3,2
419,22,1,7,22.14,3,3,4,1,3,2,4,3,4,3,3,3,3,4,2,3
420,23,0,5,54.17,3,3,2,2,2,2,4,3,3,1,3,3,3,3,3,3
421,19,1,1,36.19,2,4,4,3,4,4,4,3,2,3,5,4,3,4,1,2
422,20,0,2,43.03,2,2,2,2,4,2,2,4,2,4,4,4,5,4,2,4
423,21,1,1,28.23,3,4,4,2,2,3,2,2,2,3,4,4,3,3,2,2
424,19,0,2,27.18,3,4,2,1,4,3,3,3,2,3,3,4,4,4,3,5
425,19,1,7,13.65,2,5,2,4,2,2,4,4,2,1,2,4,2,4,3,2
426,18,0,3,44.57,3,4,3,2,4,2,2,5,4,4,4,4,2,4,3,2
427,19,1,1,23.81,4,5,3,4,2,1,3,4,3,1,3,5,1,5,4,1
428,19,0,2,31.1,4,4,4,2,2,2,3,3,2,2,2,4,2,5,3,1
429,18,1,7,21.03,3,3,3,3,1,2,2,3,2,4,2,3,4,3,4,2
430,20,0,4,51.75,2,4,3,3,3,2,4,4,2,4,3,4,4,4,4,3
431,19,1,4,31.04,1,4,4,5,1,1,1,5,4,5,4,4,4,4,2,1
432,19,0,1,44.48,2,4,1,1,5,4,5,2,4,4,3,1,4,4,3,4
433,20,1,2,20.64,2,5,5,5,4,2,3,5,5,1,4,5,1,5,2,2
434,18,0,1,38.45,2,3,2,1,3,4,4,4,2,4,3,5,4,4,2,4
435,19,1,2,26.92,4,4,4,2,3,2,2,4,4,2,4,4,2,5,2,4
436,18,0,8,18.47,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3
437,19,1,1,25.25,4,4,4,3,1,3,3,4,3,4,3,4,2,5,3,3
438,21,0,1,44.68,3,3,2,3,3,4,4,3,3,5,2,4,4,4,3,3
439,18,1,1,24.61,4,4,4,4,3,3,2,4,3,3,2,4,3,4,4,2
440,19,0,1,61.49,1,4,1,2,5,2,5,4,1,5,4,2,5,5,2,4
441,19,1,2,29.08,4,5,2,4,1,2,3,3,3,5,4,5,2,5,4,1
442,19,0,1,45.94,5,1,2,2,5,5,5,4,2,4,4,4,5,4,2,4
443,19,1,7,18.08,4,4,4,4,2,4,3,3,4,2,2,3,4,4,3,3
444,18,0,1,63.28,2,4,1,3,3,4,5,3,2,5,5,5,4,4,2,3
445,21,1,8,9.08,1,4,5,3,1,3,5,3,5,3,5,5,4,3,4,4
446,20,0,1,44.7,2,3,4,1,4,4,4,4,4,5,3,3,1,4,5,4
447,19,1,7,23.91,2,3,4,3,2,4,4,3,4,3,4,2,3,4,4,3
448,19,0,2,36.13,3,4,2,3,4,3,4,4,2,2,2,2,4,4,4,3
449,18,1,7,16.81,1,3,2,3,2,2,4,4,5,1,5,4,2,4,1,3
450,20,0,1,55.43,2,4,1,2,5,4,5,1,1,2,1,2,4,4,5,5
451,18,1,6,18.92,4,5,4,4,3,2,2,4,1,4,4,4,4,4,2,2
452,18,0,1,52.95,2,5,3,2,4,1,4,5,3,2,4,4,2,4,4,3
453,22,1,5,19.53,3,4,2,1,4,3,3,4,3,3,4,4,3,3,4,4
454,18,0,1,45.83,2,4,4,1,4,1,4,5,4,2,1,4,2,5,4,4
455,19,1,2,26.99,4,5,4,3,4,1,3,4,3,4,3,5,5,3,3,2
456,19,0,1,45.68,2,3,4,2,3,3,4,2,2,4,4,4,4,3,3,2
457,20,1,7,19.17,2,3,4,3,4,4,2,3,4,4,4,4,4,4,4,4
458,18,0,2,48.59,3,4,4,2,4,3,4,3,3,3,4,3,4,3,4,4
459,18,1,6,29.86,4,4,5,4,2,2,3,4,4,2,4,5,2,5,2,2
460,21,0,8,28.64,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
461,19,1,8,26.01,1,2,4,2,3,3,3,2,3,3,3,4,4,2,4,3
462,19,0,2,22.51,1,5,5,1,4,1,2,5,1,5,5,5,1,5,5,5
463,21,1,1,26.91,1,5,4,3,1,2,2,4,2,4,5,5,1,4,2,1
464,19,0,1,42.11,1,1,5,5,3,5,2,5,1,4,5,5,5,1,2,1
465,18,1,6,21.5,4,5,4,2,2,2,3,2,5,2,4,4,2,4,2,4
466,19,0,1,47.74,3,5,3,5,4,2,5,5,4,1,1,1,5,4,3,2
467,18,1,3,20.81,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
468,20,0,5,26.58,2,4,3,3,3,4,4,3,3,2,4,4,3,3,2,3
469,19,1,1,20.15,4,4,4,2,2,4,4,2,4,1,4,5,2,4,1,4
470,18,0,6,32.49,4,3,4,2,2,4,4,3,4,5,4,4,4,3,4,3
471,19,1,1,25,4,5,4,3,2,2,3,4,4,3,5,5,2,4,2,3
472,18,0,8,49.49,2,4,2,1,4,4,4,4,4,1,2,2,5,2,4,5
473,20,1,2,25.91,5,5,2,3,2,1,4,4,4,1,4,3,2,5,4,2
474,20,0,5,29.94,4,1,5,1,1,3,3,2,4,4,4,5,4,5,5,4
476,19,0,7,26.59,4,4,3,4,3,3,4,3,4,4,3,4,4,3,3,3
477,19,1,1,21.16,5,5,2,4,2,2,4,4,4,2,2,5,1,5,5,1
478,18,0,1,63.98,1,5,1,1,4,1,5,2,1,2,2,5,4,4,4,5
479,20,1,1,31.49,1,4,2,1,5,2,4,2,3,4,5,5,2,4,1,4
480,19,0,1,34.16,4,1,2,1,4,4,4,2,2,5,4,3,2,2,4,4
481,19,1,8,32.22,4,2,5,4,5,1,1,3,4,1,4,5,2,5,2,5
482,19,0,1,49.89,2,4,4,2,3,4,5,4,1,2,4,5,4,5,4,2
483,19,1,1,28.81,4,4,4,4,2,2,2,4,3,3,4,4,2,4,2,2
484,20,0,1,49.17,2,4,4,1,4,4,2,2,1,1,2,5,4,3,4,5
485,19,1,3,15.36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
486,20,0,7,46.64,4,3,2,3,4,2,4,4,3,2,2,2,2,3,2,4
487,18,1,1,25.43,4,4,4,4,4,2,4,4,4,2,3,4,2,4,4,4
