p_id,age,female,ethnicity,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10,e_dep_1,e_dep_2,e_dep_3,e_dep_4,e_dep_5,e_dep_6,e_dep_7,e_dep_8,e_dep_9,e_dep_10,e_fear_1,e_fear_2,e_fear_3,e_fear_4,e_fear_5,e_fear_6,e_fear_7,e_fear_8,e_fear_9,e_fear_10,e_sen_1,e_sen_2,e_sen_3,e_sen_4,e_sen_5,e_sen_6,e_sen_7,e_sen_8,e_sen_9,e_sen_10
338,20,1,2,34,22,6,7,7,1,5,1,7,5,4,2,6,4,2,4,5,6,1,5,3,6,1,5,7,6,7,1,1,1,2,4,6,4,6,6,6,1,1,6,1,1
364,18,1,5,23,23,5,5,5,5,5,6,3,5,5,4,5,5,5,5,5,1,5,5,5,5,4,5,5,3,5,5,5,6,5,5,5,5,4,5,5,2,5,5,5,2
386,18,1,1,19,9,5,6,5,2,4,1,6,5,5,2,5,5,4,2,1,2,5,7,3,7,3,2,6,6,3,2,3,1,5,6,6,6,5,6,4,2,1,2,1,2
321,18,1,1,34,22,7,7,5,6,4,3,7,2,7,1,6,6,6,5,2,2,5,5,2,7,2,6,7,5,2,6,6,6,2,7,6,7,6,5,6,1,1,2,5,6
313,21,1,1,27,18,6,7,2,5,1,4,4,7,7,3,1,2,1,1,1,2,1,5,1,6,1,1,1,1,1,6,7,7,7,6,6,4,5,7,5,4,5,7,6,2
357,19,1,1,16,8,3,6,3,6,4,2,6,3,6,3,2,3,3,2,3,6,6,5,6,5,2,3,4,6,7,1,4,2,5,5,7,7,7,6,6,1,1,1,1,6
358,19,1,2,22,15,5,5,6,2,6,2,6,5,1,5,4,5,4,5,2,6,6,6,5,4,1,6,7,6,3,2,2,2,5,7,6,6,7,5,6,1,1,1,1,1
383,18,1,5,24,13,1,2,1,1,1,7,7,3,7,4,4,3,3,2,2,1,6,4,1,4,4,1,6,3,2,3,4,4,3,5,6,3,4,4,4,6,6,3,3,4
359,19,1,1,30,21,4,6,5,5,5,2,5,3,4,2,7,3,7,5,2,5,7,5,5,6,3,4,5,2,2,4,5,5,5,6,4,3,4,5,5,2,3,2,3,3
323,20,1,1,24,13,5,6,7,6,7,1,2,2,2,3,6,5,5,3,5,5,5,2,5,7,2,7,7,5,7,3,3,3,2,4,6,5,7,5,5,1,1,4,1,1
314,18,1,1,26,16,4,2,2,1,1,6,2,2,4,5,4,3,4,1,3,5,7,5,1,4,4,4,7,5,1,4,2,6,6,7,6,5,4,6,2,3,1,2,1,1
303,19,1,1,27,24,2,4,5,1,3,3,3,4,5,2,6,5,5,2,3,5,7,5,3,6,1,4,5,5,3,5,3,5,5,5,7,6,1,7,7,7,6,1,4,5
373,18,1,2,24,15,7,5,4,2,3,4,6,3,4,2,5,4,4,5,4,4,7,6,6,7,1,6,4,4,2,1,4,4,5,7,5,5,7,6,3,2,1,6,2,1
363,19,1,1,31,31,2,6,2,6,2,5,2,4,6,7,5,2,4,2,2,4,7,2,2,5,2,2,4,2,6,2,6,7,6,7,6,6,7,4,6,2,2,1,2,2
362,18,1,2,27,10,6,2,2,5,1,2,6,5,7,5,4,3,4,5,3,1,4,5,4,5,2,2,6,5,1,5,5,5,5,5,5,6,4,5,2,5,3,3,5,4
322,20,1,1,31,25,6,5,4,5,2,3,7,2,4,5,4,3,5,2,3,5,6,5,6,7,2,5,7,4,7,1,2,1,4,4,7,7,7,7,1,2,1,1,2,1
306,21,1,1,25,22,6,6,5,6,6,2,4,3,6,4,5,1,5,5,4,6,5,5,5,5,4,5,5,3,1,5,5,3,3,6,6,6,6,6,7,2,3,2,1,1
