p_id,female,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10,e_dep_1,e_dep_2,e_dep_3,e_dep_4,e_dep_5,e_dep_6,e_dep_7,e_dep_8,e_dep_9,e_dep_10,e_fear_1,e_fear_2,e_fear_3,e_fear_4,e_fear_5,e_fear_6,e_fear_7,e_fear_8,e_fear_9,e_fear_10,e_sen_1,e_sen_2,e_sen_3,e_sen_4,e_sen_5,e_sen_6,e_sen_7,e_sen_8,e_sen_9,e_sen_10
325,1,34,18,7,5,2,1,2,5,5,7,7,2,5,6,2,1,1,1,1,2,3,7,2,2,2,3,3,5,5,6,6,6,4,2,4,5,3,2,2,5,2,2
326,1,38,35,7,7,7,7,7,1,1,2,2,3,5,2,7,5,6,5,7,7,5,7,1,1,4,4,1,1,4,5,4,7,7,7,7,7,7,1,1,1,2,1
327,1,27,12,6,6,6,6,6,3,7,4,5,2,7,4,7,6,6,6,7,7,7,6,4,4,3,4,4,3,4,3,3,4,5,7,5,6,6,3,4,2,4,4
328,1,22,18,7,7,7,7,5,1,1,1,7,1,7,6,5,5,3,7,7,7,3,5,5,3,1,1,3,1,7,6,6,7,3,1,4,7,3,4,7,3,5,7
329,1,32,24,4,4,4,5,4,3,4,4,4,3,5,4,5,5,4,3,4,4,5,4,4,4,5,4,4,3,3,3,2,3,5,4,3,6,5,5,4,3,2,3
330,1,26,26,5,5,5,5,4,2,5,3,4,5,5,4,3,4,3,3,5,4,2,5,2,4,3,4,2,5,4,4,4,5,5,4,3,5,5,5,4,2,2,3
331,1,25,13,5,4,3,6,3,3,3,4,5,3,3,2,5,5,4,2,4,6,4,5,2,3,2,1,3,3,5,4,3,6,5,2,3,6,3,3,6,1,2,5
332,1,19,17,3,6,6,5,5,2,2,3,3,3,5,5,5,5,4,4,5,5,5,5,3,5,6,5,2,3,3,3,4,5,6,5,5,6,5,2,2,2,2,2
333,1,28,20,5,7,6,6,5,3,7,3,5,2,6,1,2,6,4,7,7,7,6,7,1,6,3,6,4,1,2,1,4,3,5,6,5,6,5,6,3,2,2,6
334,1,26,18,5,5,3,2,2,6,7,5,6,5,3,3,3,3,2,3,6,3,4,6,2,3,7,4,1,2,5,4,4,6,5,5,5,6,5,3,5,6,3,2
335,1,29,17,3,5,5,4,6,2,3,5,4,3,4,6,4,3,2,3,5,1,2,7,5,3,5,2,3,2,3,4,4,5,4,3,1,5,4,4,6,3,3,5
336,1,30,33,5,1,3,5,3,5,6,6,5,5,1,4,1,5,7,5,5,6,3,5,1,3,5,4,3,1,3,4,2,6,3,4,5,5,7,4,4,4,4,4
337,1,25,18,5,5,5,3,2,4,6,6,6,7,3,6,3,4,5,2,2,3,5,5,2,2,5,3,1,6,5,6,5,6,5,4,1,7,2,1,1,2,3,2
338,1,24,18,7,6,7,6,4,2,4,6,3,3,5,3,5,5,5,5,6,5,7,6,3,6,7,5,7,2,4,1,1,5,5,4,5,6,5,4,4,4,3,5
339,1,32,33,5,7,7,7,2,6,5,5,5,7,5,2,5,4,4,7,5,5,5,5,3,1,3,1,2,4,4,6,3,6,4,3,5,7,5,4,2,6,2,4
340,1,31,18,2,1,2,1,1,7,1,1,6,7,2,1,2,2,2,1,3,2,2,2,1,2,1,2,1,5,7,4,2,6,7,3,1,5,5,7,6,1,1,7
341,1,24,26,4,4,3,5,4,4,3,5,3,3,5,5,4,4,4,5,5,6,5,4,4,4,4,1,1,5,4,7,1,7,5,5,3,5,3,2,4,4,5,3
342,1,21,22,7,7,7,7,7,1,1,2,2,2,7,7,7,7,7,7,7,7,7,7,2,7,7,6,1,7,4,7,7,6,5,7,2,5,6,7,7,1,2,2
343,1,20,10,6,6,6,6,7,2,2,3,1,5,4,5,6,2,3,1,5,2,4,5,3,3,1,6,2,3,2,5,2,6,7,7,7,7,7,1,7,5,5,2
344,1,32,25,5,5,5,4,4,2,5,3,2,2,4,3,2,4,3,3,3,4,2,4,2,4,5,5,3,3,2,3,3,5,5,5,7,3,3,2,3,1,2,2
345,1,22,20,4,4,4,4,4,2,5,2,5,3,5,4,4,4,5,3,3,4,4,6,4,5,7,4,5,2,4,1,4,5,6,5,6,6,4,2,4,4,3,3
346,1,36,34,7,6,6,1,3,1,7,3,7,5,1,2,3,1,1,3,1,5,5,6,1,2,2,1,1,7,6,7,5,7,6,6,3,6,2,2,2,2,1,3
347,1,33,24,7,7,7,5,5,1,3,6,2,1,4,4,5,4,5,6,7,7,7,6,1,6,4,2,1,5,7,3,4,5,5,3,4,4,5,5,7,1,1,2
348,1,30,14,3,2,3,4,1,4,7,5,6,5,3,3,2,3,3,5,5,3,1,3,1,2,5,2,1,4,5,1,4,7,6,3,4,5,5,3,2,2,1,4
349,1,36,34,5,6,5,6,2,4,3,4,6,5,3,3,4,4,2,5,4,4,3,5,3,2,3,3,2,4,4,4,5,5,5,4,6,5,5,2,2,2,3,2
350,1,33,30,6,5,5,6,4,2,4,3,4,5,5,3,5,3,2,5,5,5,4,4,2,2,6,2,3,2,3,1,1,5,5,2,4,5,3,4,5,2,2,2
351,1,28,20,1,7,6,7,5,1,7,1,5,1,6,1,1,1,1,7,7,4,2,6,1,6,5,5,7,1,1,1,1,7,4,6,7,6,6,1,1,1,1,1
352,1,25,20,5,7,4,2,1,2,7,5,4,4,5,5,5,7,3,4,4,6,6,5,2,3,6,3,4,3,4,2,2,4,5,2,2,5,4,5,4,5,1,3
353,1,26,22,1,5,5,3,2,6,4,7,6,5,1,4,5,5,6,7,7,6,6,7,4,1,7,3,1,5,3,5,1,6,7,4,7,7,1,1,1,3,1,1
354,1,37,32,6,5,4,4,6,2,4,2,6,2,5,3,4,6,2,2,2,1,5,6,3,6,7,5,1,4,2,4,3,6,6,6,3,5,6,7,4,2,1,3
355,1,26,22,7,7,7,7,7,7,3,1,1,1,5,3,3,5,3,7,7,4,1,3,4,7,2,3,1,5,5,3,3,5,7,7,7,6,7,1,1,1,1,1
356,1,40,18,2,2,3,2,3,5,5,3,2,3,4,5,3,3,5,3,3,4,3,4,5,4,3,5,3,3,3,3,5,2,6,2,5,3,5,3,3,5,3,2
357,1,24,21,2,5,5,6,2,3,4,5,6,5,1,2,2,2,2,2,6,2,1,2,2,2,5,3,2,2,5,3,5,6,3,5,6,6,6,1,1,1,4,5
358,1,26,24,7,5,7,3,3,3,6,4,1,2,5,4,7,6,5,2,4,6,3,5,2,4,7,6,4,2,4,1,3,2,3,4,4,5,3,4,5,3,2,3
359,1,29,23,7,7,7,7,5,1,4,2,1,2,7,1,5,6,6,6,7,5,4,5,3,6,6,5,1,6,4,7,2,3,7,4,5,5,7,6,5,2,2,2
360,1,33,25,7,7,7,7,4,1,1,2,1,1,7,1,6,3,6,7,7,4,1,7,2,6,6,1,6,3,1,2,2,6,7,1,7,1,7,1,1,7,1,1
361,1,30,20,5,6,5,5,3,3,2,2,5,2,5,5,5,5,3,3,5,3,3,6,2,2,2,4,2,4,4,4,2,4,5,4,5,4,5,3,3,2,2,3
362,1,27,16,3,5,6,5,5,2,3,6,5,3,5,5,3,3,5,5,5,5,5,5,2,3,5,2,1,1,5,3,5,5,5,3,3,5,5,7,5,3,5,3
363,1,29,22,5,5,7,5,3,2,5,3,3,6,4,2,3,3,5,6,5,4,3,4,3,2,3,6,7,5,3,3,4,3,5,5,6,5,6,1,1,6,2,3
364,1,32,28,3,5,4,1,1,4,6,2,5,2,3,2,1,3,2,2,1,4,1,5,1,1,4,1,1,2,3,3,6,6,7,2,7,5,1,1,1,6,1,5
365,1,32,21,6,6,5,2,3,1,6,4,6,4,5,3,2,3,3,1,6,5,1,7,1,4,7,3,2,4,4,2,3,5,5,5,6,5,1,2,2,1,5,7
366,1,33,20,5,7,7,5,2,1,4,4,6,2,2,1,1,1,2,4,3,5,1,7,2,2,1,1,6,1,4,1,5,4,6,4,6,6,4,1,1,1,1,3
367,1,30,19,6,5,5,6,6,2,2,2,3,2,4,3,3,5,5,4,5,5,1,4,3,3,5,3,2,6,5,5,4,6,5,3,5,3,5,2,2,3,2,3
368,1,29,21,5,6,6,4,6,2,2,2,2,2,7,7,7,6,5,4,4,3,7,6,6,6,3,4,4,5,3,5,2,4,7,5,3,5,2,4,2,2,2,2
369,1,32,32,5,5,3,5,2,2,5,4,5,2,5,2,1,2,4,5,5,4,5,5,3,3,2,4,2,3,4,5,2,5,4,5,4,4,5,3,5,2,2,3
370,1,37,29,5,5,5,5,5,2,2,3,7,5,5,6,5,2,2,3,5,1,4,6,2,4,6,3,1,5,5,5,5,7,7,5,2,7,6,6,5,1,2,2
371,1,34,29,4,1,1,2,1,1,7,5,4,7,1,1,4,1,4,1,3,4,1,1,1,1,1,1,1,4,7,7,4,7,5,4,1,6,6,6,5,4,1,1
372,1,36,31,4,4,3,3,3,4,2,4,5,3,2,3,3,3,3,5,7,2,1,6,3,3,3,2,1,3,5,3,5,6,5,4,1,5,5,6,5,2,4,5
373,1,32,28,4,4,4,6,2,3,3,3,4,4,3,3,2,4,4,4,6,2,3,5,2,4,6,4,4,4,4,3,4,4,5,5,4,4,4,2,5,4,2,4
374,1,40,28,5,6,5,5,4,5,4,2,4,2,5,5,6,5,5,5,5,2,5,7,2,6,6,4,4,3,3,2,2,5,6,5,2,5,6,5,3,4,2,3
375,1,37,28,6,6,7,6,7,7,4,1,4,7,4,4,2,6,4,6,7,4,7,7,4,4,4,6,1,6,5,4,6,6,7,6,6,6,5,6,4,4,1,4
377,1,30,19,5,7,6,6,7,1,4,1,5,1,5,3,3,6,4,3,4,4,1,6,7,7,7,1,6,1,1,1,1,2,1,4,7,4,4,1,1,2,3,3
378,1,28,20,4,5,2,2,3,5,2,5,5,2,6,5,5,4,5,5,4,5,6,6,5,4,5,2,2,5,3,5,3,5,6,3,2,6,5,6,6,3,6,6
379,1,28,20,5,2,1,6,2,6,6,6,6,7,3,2,2,3,3,2,2,5,2,4,2,2,5,3,1,2,4,4,3,6,4,5,2,5,6,6,6,2,6,6
380,1,30,15,4,4,3,2,2,5,2,2,6,4,2,5,2,2,4,1,1,1,1,5,4,1,1,2,1,7,3,7,2,7,2,3,1,6,2,7,7,1,6,7
381,1,30,15,5,6,5,5,5,2,6,2,5,5,5,2,5,2,3,6,3,5,5,6,2,7,6,7,7,1,2,1,3,3,7,6,5,6,7,3,3,1,1,1
382,1,24,16,5,6,3,7,2,2,3,3,5,2,6,5,5,2,4,5,5,6,7,7,2,5,6,5,2,2,5,3,5,3,7,3,5,6,5,2,2,3,2,2
383,1,25,16,6,5,5,5,6,1,3,5,7,2,7,6,7,6,6,6,6,4,6,7,6,5,7,5,5,3,3,1,2,3,6,5,1,7,7,7,3,1,6,6
384,1,30,20,6,3,3,3,4,3,2,4,3,3,5,4,4,5,3,2,5,5,4,5,4,3,5,3,4,4,4,4,4,4,4,4,7,5,6,1,4,4,1,1
385,1,30,32,7,7,7,6,7,1,1,2,2,2,7,7,7,5,5,2,1,7,6,7,1,2,2,5,2,4,3,3,5,2,6,1,1,6,5,6,6,2,1,1
387,1,37,26,5,7,3,6,3,1,5,5,5,1,5,5,5,3,5,5,6,6,5,6,3,5,6,3,3,1,2,3,3,6,6,3,5,6,5,5,1,1,1,5
388,1,32,21,5,4,4,3,3,3,4,3,5,3,5,2,3,4,4,2,2,6,5,4,2,3,6,1,2,1,4,2,3,5,6,3,2,6,5,2,4,3,3,2
389,1,32,36,4,5,4,7,2,2,7,3,3,5,5,4,2,6,4,5,6,7,2,6,2,6,7,2,2,3,3,5,3,6,6,7,7,7,6,1,1,7,1,2
390,1,25,16,4,4,7,3,5,4,2,6,4,5,4,4,5,6,4,5,6,5,5,5,1,5,6,5,2,5,4,6,4,6,5,6,7,4,1,1,1,2,1,2
391,1,26,24,4,7,4,3,3,2,7,1,6,5,4,2,2,4,4,4,7,2,4,7,1,4,7,4,2,1,5,2,1,5,7,7,6,7,7,1,1,1,1,1
392,1,36,28,4,3,2,4,1,6,6,5,5,5,3,3,5,6,4,1,5,5,5,6,2,3,3,1,1,5,5,4,1,5,1,2,6,5,4,1,1,1,1,2
393,1,30,23,6,7,5,6,6,2,6,2,4,2,6,5,6,6,5,7,7,6,3,5,1,5,6,4,1,5,4,5,5,6,7,7,7,6,1,1,7,3,1,2
394,1,30,16,6,5,3,4,1,5,1,1,4,1,5,6,5,2,4,5,6,5,3,5,1,3,5,1,5,5,6,6,3,5,6,7,6,1,5,6,5,4,6,6
395,1,29,17,7,6,6,6,4,2,2,3,5,2,6,5,5,6,5,4,4,5,5,7,3,4,7,4,4,3,4,3,4,3,6,6,7,6,5,1,3,2,1,1
396,1,27,20,7,7,7,7,7,1,1,5,2,1,7,5,7,7,2,1,7,7,2,7,7,7,6,7,1,4,3,2,2,2,5,7,1,5,4,7,5,2,3,1
397,1,32,28,4,5,3,4,2,2,3,4,5,4,3,3,2,4,4,3,6,4,4,4,2,3,4,2,2,5,4,5,3,5,4,4,4,5,6,3,4,5,3,2
398,1,24,27,4,6,7,5,6,2,2,3,2,2,5,5,6,4,4,2,6,5,6,7,2,5,5,3,3,3,2,4,3,5,6,6,3,6,5,5,4,1,2,2
399,1,22,20,5,5,5,3,4,3,3,4,3,3,5,4,5,5,3,5,5,3,5,5,3,4,4,3,3,2,2,2,4,3,3,5,6,3,3,6,2,3,3,2
400,1,18,24,5,5,5,5,5,4,3,6,4,3,5,5,5,7,5,5,3,7,4,4,3,6,6,5,2,3,4,3,5,4,6,5,7,5,5,1,4,5,3,4
401,1,30,21,6,6,6,5,6,2,6,2,5,2,6,5,3,5,5,5,7,6,3,6,1,5,5,3,1,2,5,2,6,5,6,5,5,5,6,2,2,2,4,4
