p_id,female,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10,e_dep_1,e_dep_2,e_dep_3,e_dep_4,e_dep_5,e_dep_6,e_dep_7,e_dep_8,e_dep_9,e_dep_10,e_fear_1,e_fear_2,e_fear_3,e_fear_4,e_fear_5,e_fear_6,e_fear_7,e_fear_8,e_fear_9,e_fear_10,e_sen_1,e_sen_2,e_sen_3,e_sen_4,e_sen_5,e_sen_6,e_sen_7,e_sen_8,e_sen_9,e_sen_10
141,0,46,45,4,6,1,6,1,5,6,3,6,2,2,3,4,1,2,1,5,5,3,7,2,4,2,3,1,5,5,5,1,6,5,4,1,6,4,7,3,1,1,2
142,0,49,40,7,4,4,5,1,2,6,4,4,4,4,2,1,4,4,6,4,1,2,6,1,3,4,2,1,3,6,4,5,7,7,4,3,7,7,3,4,3,2,3
143,0,58,66,4,5,5,3,3,4,4,5,5,5,4,5,4,3,3,5,5,5,4,5,2,5,4,3,2,5,5,5,7,5,5,5,5,5,3,3,5,3,4,5
144,0,61,59,1,2,1,5,1,7,3,7,7,6,5,3,1,1,1,1,5,2,2,5,1,1,2,1,1,5,5,4,6,7,5,2,1,6,5,7,6,4,2,5
145,0,39,16,5,6,5,5,5,3,5,5,4,5,4,4,5,3,5,5,7,5,6,5,3,5,5,3,5,5,5,5,5,5,5,5,4,6,5,5,5,3,3,5
146,0,42,39,2,2,2,2,2,7,7,6,6,6,3,3,3,3,2,5,3,3,5,5,3,3,4,3,1,6,7,7,4,7,5,5,2,5,5,3,6,3,1,6
147,0,51,46,6,5,6,2,5,5,3,3,5,2,6,6,7,3,5,5,6,5,7,7,5,3,5,3,3,3,5,6,2,6,6,5,2,5,5,6,5,3,2,5
148,0,48,44,7,7,2,7,2,2,6,2,5,1,7,3,7,7,4,2,4,4,7,6,2,6,7,5,3,5,4,2,3,3,7,6,5,5,6,2,2,2,1,2
149,0,48,35,5,5,5,7,2,2,1,2,1,3,5,5,2,1,2,1,1,4,3,5,2,1,1,3,1,3,5,4,6,6,3,2,1,5,3,6,2,3,1,2
151,0,46,58,7,6,6,5,3,3,6,3,3,2,6,5,5,3,4,2,6,6,1,6,2,5,6,4,3,5,5,5,3,5,5,4,2,5,6,3,3,3,2,4
152,0,40,34,6,1,5,2,1,2,2,7,7,1,2,1,1,1,2,1,5,5,1,6,1,1,2,1,1,5,7,3,7,7,7,1,5,6,5,5,1,2,2,2
153,0,43,34,7,5,5,5,2,4,6,3,6,3,4,3,3,2,3,2,6,3,3,5,1,3,3,2,2,3,4,2,4,4,3,4,2,5,3,6,6,3,3,5
154,0,52,57,2,3,3,2,2,3,4,3,5,6,3,4,6,3,2,2,2,3,3,6,2,3,4,2,3,3,5,5,6,6,3,2,2,3,3,7,6,4,5,4
155,0,50,60,3,5,1,5,2,3,5,4,6,4,5,2,4,1,2,4,5,2,3,6,1,1,5,2,3,6,6,6,7,7,6,5,6,5,6,1,2,1,2,2
156,0,55,45,4,4,2,7,5,6,7,4,6,4,6,4,6,1,6,7,7,7,2,5,1,1,7,2,5,2,7,3,1,5,7,7,5,7,7,2,6,1,1,1
157,0,30,27,7,7,7,7,2,1,1,7,1,7,7,7,7,7,7,2,7,7,7,7,7,6,7,7,1,6,4,7,2,1,7,6,6,3,1,1,1,7,7,5
158,0,45,25,2,6,5,1,5,2,3,4,2,1,3,1,3,2,3,6,5,5,6,7,6,5,3,6,5,4,6,4,2,5,6,6,2,2,4,1,4,3,1,6
159,0,42,26,5,5,5,6,4,2,2,3,4,3,5,5,3,4,6,4,2,5,3,4,3,3,3,3,5,4,3,5,4,5,5,4,6,5,4,5,3,3,1,1
160,0,45,40,6,7,6,5,5,1,6,4,4,2,6,5,5,2,5,1,6,5,2,7,4,6,6,2,1,4,2,2,2,4,3,4,2,5,1,2,2,1,2,2
161,0,45,43,1,1,1,3,1,7,7,5,7,6,1,1,1,3,3,1,3,7,1,7,1,1,1,1,2,7,7,7,5,7,5,3,1,7,1,7,7,7,3,7
162,0,51,46,5,3,3,2,1,5,6,3,5,2,4,5,5,5,2,4,2,5,3,7,1,1,5,2,1,5,3,3,5,5,4,2,1,4,3,6,6,3,4,6
163,0,45,37,5,4,2,2,2,1,3,5,6,2,6,2,7,3,3,5,5,5,1,6,5,1,2,4,2,5,5,5,5,6,6,6,1,6,5,7,5,3,3,4
164,0,59,78,1,1,1,1,1,7,7,6,7,7,2,1,1,1,2,1,1,6,1,4,2,1,1,1,1,6,6,6,6,5,3,1,1,5,1,7,1,6,3,6
165,0,41,35,2,3,2,4,2,5,3,5,6,3,3,4,3,3,3,3,2,3,6,5,2,2,5,2,1,5,6,5,6,6,5,3,1,5,4,6,2,3,3,7
166,0,41,32,2,5,2,1,1,6,6,5,6,6,2,1,2,1,2,2,2,3,3,5,1,2,2,2,2,5,6,5,6,7,5,4,1,6,5,6,3,3,2,5
167,0,63,63,6,7,7,5,7,1,6,3,5,5,6,5,6,5,5,5,6,6,6,7,1,5,3,2,5,2,6,2,5,6,5,6,1,7,6,6,2,4,2,6
168,0,54,49,1,1,2,2,1,7,6,5,6,5,2,5,5,2,2,2,1,3,4,5,3,2,3,2,1,7,6,6,7,7,3,5,3,5,3,5,2,4,2,4
169,0,48,48,5,5,5,2,5,3,4,7,5,3,3,4,7,2,5,6,6,5,4,7,2,5,5,5,3,3,4,5,5,6,6,7,2,5,5,5,3,2,1,2
170,0,49,52,6,4,4,5,3,4,3,6,7,4,5,5,5,2,2,3,5,3,2,5,2,5,5,3,1,6,5,6,5,5,6,4,1,6,5,6,3,2,2,7
171,0,42,28,1,1,2,2,4,6,4,1,5,7,2,3,2,4,3,1,6,4,3,7,1,4,1,4,4,5,4,4,4,6,1,1,1,1,1,4,1,1,3,5
172,0,50,37,2,4,2,6,1,6,7,5,7,4,4,1,1,1,1,4,5,3,5,6,1,2,2,1,1,5,7,6,5,7,6,5,4,6,5,4,3,4,3,2
173,0,46,46,4,5,2,2,2,1,2,6,7,2,3,1,1,1,1,6,6,3,1,4,1,1,2,2,1,6,6,4,6,6,7,1,5,5,3,4,1,3,2,2
174,0,52,72,4,1,1,7,1,4,7,7,7,2,1,1,2,1,1,6,6,2,1,7,1,1,1,1,1,6,5,7,6,7,4,5,1,5,6,7,7,1,5,7
175,0,40,41,4,4,4,3,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,7,4,3,4,5,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4
176,0,47,34,5,6,5,7,5,1,2,3,5,2,6,6,6,5,5,5,7,6,3,7,3,5,2,3,1,5,3,5,3,5,6,5,7,5,7,1,1,2,3,1
177,0,56,34,5,5,5,5,3,3,2,5,5,5,5,6,5,3,5,6,6,3,4,5,3,2,3,2,1,3,5,5,4,5,6,3,3,5,4,5,4,3,3,3
178,0,61,61,5,6,2,5,3,2,4,2,6,7,5,1,5,2,5,5,6,6,3,6,3,3,2,2,1,6,6,6,6,6,3,3,3,5,2,6,5,2,6,6
179,0,40,40,5,7,2,1,5,1,1,2,5,6,5,1,1,5,4,4,7,4,1,1,1,6,4,5,1,1,2,1,1,6,5,5,5,6,2,4,7,4,7,2
180,0,34,34,6,7,5,5,2,2,5,2,5,2,6,4,5,3,6,7,7,7,5,6,4,4,7,3,6,2,2,4,3,5,7,6,6,7,7,1,1,3,1,1
181,0,50,36,7,4,4,5,1,3,3,7,6,6,4,5,5,2,6,1,5,5,7,7,1,1,1,1,1,6,6,7,6,6,5,2,1,5,4,7,5,2,1,4
182,0,46,38,2,3,2,3,3,4,5,4,4,4,4,3,3,3,4,4,4,3,3,4,2,2,2,3,3,4,4,4,4,5,5,3,3,2,4,3,3,3,3,3
183,0,50,59,4,5,6,2,2,2,4,5,5,5,6,3,6,3,4,3,3,4,7,7,1,3,3,6,1,4,6,5,6,6,2,2,1,6,2,7,6,4,4,6
184,0,61,62,5,3,4,6,2,2,2,6,6,3,5,5,2,2,2,2,2,2,1,6,2,3,2,2,1,6,5,6,6,6,3,2,1,3,6,6,6,2,2,3
185,0,41,56,5,3,3,3,2,6,5,6,6,5,2,2,2,1,2,4,5,1,3,7,1,1,5,1,1,7,6,7,7,7,7,5,1,6,5,7,6,2,1,5
186,0,44,37,3,5,3,2,2,3,6,5,6,6,3,5,1,3,2,3,3,4,6,4,2,2,5,2,2,6,4,4,7,6,5,3,1,6,3,7,3,3,6,6
187,0,41,27,5,5,6,3,5,3,3,3,4,5,5,5,6,6,3,4,5,5,4,6,2,4,5,3,2,5,5,4,4,6,7,5,3,5,6,4,3,2,2,3
188,0,54,68,3,3,2,2,3,3,2,4,5,3,3,4,3,2,3,1,3,5,3,7,1,3,3,2,2,5,5,4,5,5,5,4,1,5,3,7,5,3,2,4
189,0,50,55,3,3,7,5,5,7,7,1,7,7,1,7,1,5,1,5,2,7,7,7,1,7,1,1,1,7,7,7,7,7,7,2,2,5,1,1,7,5,2,2
190,0,35,38,1,1,1,5,1,7,6,4,7,6,5,3,5,3,2,1,5,1,4,5,2,1,5,3,5,2,6,2,6,6,5,6,1,5,5,6,7,2,1,3
191,0,54,62,4,3,1,6,1,7,1,4,7,4,1,1,3,1,1,3,6,1,6,7,1,2,5,1,5,1,6,2,7,6,2,7,6,7,7,2,1,1,6,2
192,0,42,40,7,4,5,4,2,4,6,3,5,4,5,5,6,2,5,4,5,5,6,7,1,3,4,2,1,4,4,4,6,6,5,4,5,5,7,2,4,2,3,4
193,0,50,50,6,7,5,6,2,2,3,6,7,2,1,2,2,3,3,4,4,2,3,2,2,2,2,2,2,7,6,5,6,6,5,3,1,6,5,6,7,4,6,5
194,0,39,35,5,4,5,5,5,4,7,6,3,7,3,5,5,3,3,3,6,5,5,5,3,5,1,2,1,6,4,6,6,7,5,3,1,3,3,6,6,5,6,7
195,0,59,46,5,4,5,5,2,5,4,5,6,3,4,4,5,1,3,3,3,3,4,5,1,2,2,3,1,5,5,4,6,5,6,4,1,5,4,6,6,4,5,4
196,0,60,75,1,2,1,5,2,6,7,6,7,5,3,4,3,1,3,3,3,4,3,6,1,3,1,2,1,5,5,5,5,5,5,5,1,5,1,7,7,7,2,4
197,0,36,23,5,4,2,7,3,2,5,5,2,2,5,4,5,4,6,4,6,6,6,4,7,1,6,4,7,1,1,1,1,5,6,4,1,5,3,5,5,2,2,3
198,0,41,47,6,3,3,3,4,5,5,5,5,3,5,4,5,2,5,2,3,3,5,6,3,3,2,3,5,3,3,2,5,4,5,3,5,6,5,5,3,3,3,4
199,0,48,56,7,3,5,7,1,1,7,7,7,2,1,4,1,1,5,7,7,4,4,7,1,1,7,4,1,4,7,4,7,7,7,6,5,7,4,1,2,1,1,1
200,0,54,55,5,6,6,6,5,1,2,6,5,3,5,4,5,3,4,3,5,4,5,6,1,4,3,2,1,5,7,7,7,6,5,4,3,7,5,7,3,5,5,4
201,0,50,43,2,2,4,1,2,5,7,3,6,6,4,5,2,4,3,4,1,2,7,7,1,5,7,3,1,2,5,4,5,6,4,4,1,5,4,6,3,2,4,4
202,0,38,29,4,2,2,3,3,6,6,5,6,4,3,4,6,1,2,1,2,2,2,5,2,2,3,3,5,1,4,1,2,7,7,1,1,5,3,7,1,4,4,6
203,0,60,64,3,5,2,4,2,4,5,5,6,3,3,5,3,2,3,2,3,3,3,5,2,2,3,3,1,4,6,6,5,6,5,2,1,5,3,7,6,3,4,5
204,0,48,54,4,1,2,2,2,6,7,6,4,3,3,3,3,3,4,1,2,4,2,5,2,3,5,2,1,6,5,5,5,5,2,1,1,3,2,7,7,6,5,6
205,0,44,64,7,7,7,7,2,1,1,3,4,1,6,2,7,1,5,6,6,5,3,6,1,1,6,3,7,7,6,6,7,7,6,1,5,2,1,3,7,7,6,1
206,0,45,60,6,2,1,2,2,2,7,7,7,6,7,2,6,4,2,1,1,5,5,7,1,3,4,3,1,6,6,7,4,7,5,1,1,5,5,7,7,1,1,1
